Afrojack, Doing It Right 
Afrojack Quintino, Selecta
afrojack, replica
Afrojack, Rock The House 
Afrojack Shermanology Angger_Dimas Bassjackers Hardwell,  Can't Stop Me RIA
Alesso, Clash
???Alesso Paul Klyde DEVolution Amy Pearson Paul Klyde, Good Love
Alesso, Raise Your Head
Alesso Keane, Silenced By The Night
Alesso OneRepublic, If I Lose Myself
Alesso, Years 
Dirty_South Alesso Ruben_Haze, City Of Dreams 
???LMFAO Party Rock Anthem (Alesso Remix) feat Lauren Bennett  GoonRock
Sebastian_Ingrosso Alesso, Calling 
Avicii NERVO, You'll Never Be Alone Again
Avicii Salem_Al_Fakir, Silhouettes
Avicii, levels
Avicii, This is so Good
Avicii Deniz_Koyu, Bong Into Darkness
Benny_Benassi, Love Is Gonna Save Us
benny_benassi, finger food
Benny_Benassi Gary_Go, Close To Me
Benni Bennasi In-Grid, In Tango (Benny_Benassi Remix)
Benny_Benassi Dhany, You make me feel
Benny_Benassi 50_Cent, Satisfaction vs In Da Club
Benny_Benassi Gary_Go, Cinema
???Benny_Benassi, I am not drunk (Pump kin mix)
Benny_Benassi, Illusion
Benny_Benassi, Put your hands up
Benny_Benassi Jrabbit, Satisfaction
Benny_benassi, Turn me up
Benny_Benassi Marshall_Jefferson, Move Your Body
BLACK_BOX Benny_Benassi, Everybody everybody
Global_Deejays Benny_Benassi, Born To Be Alive
Public_Enemy Benny_Benassi, Bring The Noise
Madonna Benny_Benassi, Celebration
???Pink Is Punk  Benny_Benassi — Perfect Storm 
Benny_Benassi Planet_Funk, Lemonade
Congorock Steve_Angello, Babylon
Congorock, Ivory
Zedd Matthew_Koma Congorock, Spectrum
???Afrojack Dada_Life R3hab, Prutataaa
Chuckie Dada_Life, Who Is Ready To Jump
Dada_Life, Don't Stop
Dada_Life, Feed the Dada
Dada_Life, Kick Out The Epic Motherfker
Dada_Life, Rolling Stones T Shirt
Dada_Life, So Young So High
Dada_Life, White Noise Red Meat 
Dan_Black Dada_Life Kid_Cudi, Symphonies
Duck_Sauce Dada_Life, Big Bad Wolf
Kaskade Dada_Life Dan_Black, Ice
Kaskade Dada_Life, Llove
Madonna Dada_Life, Girl Gone Wild
david_guetta chris_willis fergie lmfao, gettin_over_you
kelly_rowland david_guetta, commander
david_guetta chris_willis, gettin_over
Joachim_Garraud David_Guetta, Rock The Choice
david_guetta, everytime we touch
Nicki_Minaj David_Guetta, Turn Me on
david_guetta, memories
david_guetta, toyfriend
Afrojack David_Guetta, Louder Than Words
David_Guetta, Delirious
David_Guetta Akon, Sexy Bitch
David_Guetta Chris_Willis, Love is gone
David_Guetta FloRida, Club Cant Handle Me
David_Guetta Will.I.Am, I Wanna Go Crazy
David_Guetta Rihanna, Whos That Chick 
DAVID_GUETTA, love don't let me go
David_Guetta Nicky_Romero, Metropolis
David_Guetta, Baby when the light
David_Guetta, Delirious
David_Guetta Sia, She Wolf
David_Guetta Tocadisco, Tomorrow Can't Wait
David_Guetta Kelly_Rowland, When Love Takes Over
Flo_Rida David_Guetta Nicky_Romero Sia, Wild Ones
???Moonraker is freemind - Foremost Poets vs Dj T (Joachim Garraud and David_Guetta Remix)
Hard_Rock_Sofa DJ_Squire Max'C Tom_Tyger, Just Can't Stay Away
Hard_Rock_Sofa, Quasar 
Swanky_Tunes Hard_Rock_Sofa, The Edge 
???Hardwell Nero, Cobra Promises
Example Hardwell Dannic, Say Nothing
Hardwell, Cobra
Hardwell Dannic, Kontiki 
Hardwell JoeySuki, Munster 
Hardwell Rehab Rene_Amesz, Blue Magic
Hardwell Showtek, How We Do
Hardwell, Spaceman
Hardwell Gotye Tom_Buster, Spaceman I Used To Know
Jake_Shanahan Hardwell Sebastien_Lintz, Passion
Martin_Solveig Kele Hardwell, Ready 2 Go
Nari Milani Otto_Knows Hardwell Thomas_Gold, Million Atoms To Apologize
Hardwell Taio_Cruz Flo_Rida, Hangover
???The Naked  The Famous   Young Blood (Tiesto  Hardwell Remix) (HQ)
???Skrillex, First Of The Year (Equinox)
SKRILLEX, BANGARANG
Skrillex, Make It Bun Dem
NERVO Afrojack,  We're All No One
Steve_Aoki Angger_Dimas Iggy_Azalea, Beat Down
Steve_Aoki Wynter_Gordon, Ladi Dadi
???Steve_Aoki Zuper Blahq - I'm in da house
Steve_Aoki Kid_Cudi, Pursuit Of Happiness
Steve_Aoki Laidback_Luke Lil_Jon, Turbulence
Steve_Aoki Sidney_Samson, Wake Up Call
Steve_Aoki Angger_Dimas, Steve Jobs
Steve_Aoki The Kids Will Have Their Say
The_Bloody_Beetroots Steve_Aoki, WARP
Hard_Rock_Sofa Swanky_Tunes Hardwell Chuckie, Here We Move It 2 The Drum
Swanky_Tunes Max_C, Sending My Love 
Swanky_Tunes Hard_Rock_Sofa, Apogee
Swanky_Tunes Ben_McInerney, Make Some Noise
???Swanky_Tunes Peking Duk feat James Mcnally   You Are Like Nobody Else Rip)
Swanky_Tunes, Right Now
Swanky_Tunes, Smolengrad
AN21 Max_Vangeli Steve_Angello, H8RS 
Axwell Bob_Sinclar Ron_Carroll, What A Wonderful World
Axwell Ingrosso Angello Laidback_Luke Deborah_Cox, Leave The World Behind
Coldplay Swedish_House_Mafia, Every Teardrop Is A Waterfall
Dirty_South Rudy Axwell, Let It Go
TV_Rock Rudy Axwell, In The Air Remix
???Axwell IvanGough Feenixpawl Feat Georgi Kay, In My Mind
Michael_Calfan Axwell, Resurrection
Miike_Snow Sebastian_Ingrosso Dirty_South, Silvia
Steve_Angello Knas 
Steve_Angello AN21, Flonko (Version One)
Steve_Angello AN21, Valodja 
Steve_Angello Hardwell Laidback_Luke Robin_S - Be vs Show Me Love
Steve_Angello Laidback_Luke, Gypsy
Steve_Angello, Monday
Steve_Angello, Rave 'n' Roll 
Steve_Angello, Tivoli 
Steve_Angello, Yeah 
Supermode Axwell Steve_Angello, Tell Me Why
Swedish_House_Mafia John Martin,  Don't You Worry Child
Swedish_House_Mafia John Martin,  Save The World Tonight
Swedish_House_Mafia Pharrell_Williams, One 
Swedish_House_Mafia, Greyhound
Swedish_House_Mafia, Miami 2 Ibiza
Swedish_House_Mafia Robin_S Hardwell, Show One Love
swedish_house_mafia, until one
Swedish_House_Mafia Knife_Party, Antidote
Temper_Traps Axwell Dirty_South, Sweet Disposition
Tim_Mason Steve_Angello, The Moment
Tommy_Trash deadmau5 Chris_James, The Veldt
Tommy_Trash Steve_Aoki Wynter_Gordon, Ladi Dadi
Tommy_Trash Lindsey_Ray, Slumber
Tommy_Trash, Cascade
Tommy_Trash, Future Folk 
Tommy_Trash, Monkey See Monkey Do
Tommy_Trash, Ohrwurm 
Tommy_Trash, Reload
Tommy_Trash, Sunrise
Tommy_Trash, The End
Calvin_Harris Scissor_Sisters, Only The Horses
