MGMT, Kids
Mgmt, Time To Pretend
30_seconds_to_mars, closer to the edge
30_seconds_to_mars, this is war
30_seconds_to_mars, A Beautiful Lie
30_seconds_to_mars, From Yesterday
30_seconds_to_mars, Kings And Queens
Blink_182, Dumpweed
Blink_182, Adam's Song
Blink_182, All The Small Things
Blink_182, always
Blink_182, Down
Blink_182, Every Time I Look For You
Blink_182, Feeling This
Blink_182, First Date
Blink_182, I Miss You
Blink_182, I'm Lost Without You
Blink_182, Not Now
Blink_182, Stay Together For The Kids
Blink_182, The Rock Show
Green_Day, Jesus Of Suburbia
linea_77, my magic skeleton
linea_77, mi vida
linea_77, overload
Linea_77, Il Senso
Linea_77, Aspettando Meteoriti
Linea_77, Non ricordi niente
Linea_77, Evoluzione
Linea_77, Fantasma
Linea_77 Tiziano_Ferro, Sogni Risplendono
Linea_77, Gocce
Linea_77, La Nuova Musica Italiana
Linea_77, Il Mostro
Linea_77, Inno all'odio
Linea_77, Moka
Linea_77, Sempre Meglio
LINEA_77, Vertigine
MUSE, Neutron Star Collision
Muse, Time Is Running Out
My_Chemical_Romance, Welcome To The Black Parade
prodigy, omen
Prodigy, Voodoo People
Prodigy, Warrior's Dance
PRODIGY, Invaders Must Die
Scissor_Sisters, Fire With Fire
serj_tankian, lie lie lie
serj_tankian, elect the dead
Serj_Tankian, Sky Is Over
Sistem_of_a_Down, Aerials
Sistem_Of_A_Down, B.Y.O.B
Sistem_Of_A_Down, Chop Suey
Sistem_Of_A_Down, Cigaro
Sistem_of_a_down, Hypnotize
Sistem_of_a_Down, Question!
Tre_Allegri_Ragazzi_Morti, Il Mondo Prima
Gogol_Bordello, Not A Crime
Gogol_Bordello, Start Wearing Purple
Gogol_Bordello, Super Taranta!
Gogol_Bordello, Wonderlust King
Imagine_Dragons, Radioactive
Muse, Madness
