Acid_Pauli, Nymbiotic
Denis_Horvat, Apart 
Denis_Horvat, Exit
Alex_Niggemann, Convection 
Agents_Of_Time, Obsidian 
aGlio, Theremin
Mind_Against, Gravity
Mind_Against, Eclipse
Mind_Against , Event Horizon
Darse, Horus
Denis_Horvat, Bruto
Tale_Of_Us Ovend, Red Sky
AlexDo, Lumen
Alex_Smoke Tale_Of_Us, Dire Need
Alien_rain, Alienated A1
Antigone, Ostinato II
Antigone, Ostinato I
Apollo's_Messenger EKDK Erly_Tepshi, Hysteria 
Avi_Musaifi, Qarva
Baikal, Pelican's Flight
Boston_168, 303 Regiment
Boston_168, Acid Morning
Closed_I Distant, Aedes
Cosmin_TRG, In Your Body
Cryptik, Radiance
Cubicolor Patrice_Bäumel, Dead End Thrills
Darse, Valeant
Dast, Hypnotize
Dast, Skulkyoe
Dettmann Klock, Phantom Studies
Distant_Echoes, False Prophet
Drumcell Planetary_Assault_Systems, Departing Comfort
Dyad, From Another Place
Dubiosity Pjotr_G, Trailer Park Prophet 
Essē, Luce
Elad_Magdasi, Hell Strike
Ellen_Allien Skudge, Mind Journey
Darse, Il Tempio Degli Illuminati
Darse, Risonanze Armoniche
Mallone, The Clock in the Hall
ENØS Paul_Røux, Volcanic Stone
Etapp_Kyle, Quantum
Farrago, Her
Farrago, Trouble Will Follow 
Function, DX3 Analog Bass Seq
Gardens_of_God, Ghost
Głós, Cut Throats
Hector_Oaks, Uno A
Hush_Sleep, Amenti 
Hush_Sleep, Hathor
Hush_Sleep, Hysteria
Hush_Sleep, Ilmatar 
Hush_Sleep, Mirth
Hush_Sleep, Valdar 
Hush_Sleep, Yrsa 
Hush_Sleep, Ysteri 
Johannes_Heil, B2 EXILE007
Jon_Hester, A Distant Spark
Kangding_Ray, Summerend
Kevin_de_Vries, Eternity
Konstantin_Sibold, Mutter 
Lehar Rush_Midnight Peter_Pardeike, Number One Hero
Locked_Groove, Emeralds
Locked_Groove Scuba, Enigma
Mathame, Dance Of Light
Melody_Boy_2000, Sound Stealer
Mind_Against, Avalon
Mind_Against, Gravity
Mind_Against, Long Bright Dark
Mind_Against Somne, Vertere
Monoloc, Momentum
Monoloc, Muted
Nils_Frahm Mind_Against, Peter
nthng, It Never Ends 
nthng, Last 
nthng, Soms 
nthng, Untitled (Human PtII) 
Obscure_Shape SHDW, Die Wiederkehr
Perc Pessimist, Exit
Pisetzky, Adria
Pisetzky, Hide
Pisetzky, Self Dimension
Prince_Of_Denmark, GS
Recondite, Compel 
Recondite, EC10
Recondite, Theater II
Ricardo_Villalobos, Dexter
Rival_Consoles, Helios
Rival_Consoles, Howl
Rival_Consoles, Johannesburg
Rival_Consoles, Lone
Rival_Consoles Narrator, Recovery
Rival_Consoles, Slow Song
Rival_Consoles, Walls
Rødhåd, Helldiver
Rødhåd, The Wall
SHDW Obscure_Shape, Augen Der Nacht (Ryan James Ford Version)
SHDW Obscure_Shape Tale_Of_Us Mind_Against, Die Weisse Rose
SHDW Obscure_Shape, Ein Freund Fürs Leben
SHDW Obscure_Shape James_Ruskin, Nachtblende
Sigha, Christ Figures
Someone_Outside, Underworld
Tale_Of_Us, Destino Endless
Tale_Of_Us, Distante
Tale_Of_Us, Lies
Tale_Of_Us Mind_Against, Astral
Tale_Of_Us, North Star
Tale_Of_Us, Notte Senza Fine
Tale_Of_Us, Ricordi
Toms_Due Ambivalent, Magma
Trentemøller Sune_Rose_Wagner, Deceive
UVB, Mixtion
Vaal Locked_Groove, Wander to Hell
Varg, Nastroend
Vertical_Spectrum Abstract_Division, Alpha Magnitude
Violent, Rage For Order
Vril, Tannhauser Gate
Vril, Thronwagen
Woo_York, Alien Worlds
Yotam_Avni, Midas Touch
Woo_York, Black Rain
Kas:st, Noumene
Johannes_Heil, A1 EXILE007
Stephan_Bodzin, Sungam
Stephan_Bodzin, Strand
Re-Axis, Breath
Eomac Tommy_Four_Seven, Spectre 
Florian_Meindl Radio_Slave, 8bit Romance
Woo_York, Black Soul 
Tale_Of_Us, Silent Space
Recondite, Phalanx
Barnt Tale_Of_Us Recondite, Cherry Red
Recondite, Equilibrium
Recondite, Warg [HFT046]
Recondite, DRGN 2
Kiasmos Tale_Of_Us, Swept
matHame, Act II
matHame, Act III
PISETZKY, Viridis
Someone_Outside Mallone AntiAlias_Hourglass, Cloud Atlas
Recondite, Serak
jam spoon, the age of love watch out for stella
